atqro_code,atq_code,atqro_label,atqro_sequence,atqro_is_default,atqro_is_active,atqro_score_risk
C-01-5,C-01,Curated registry with signature validation in a relational database via a GitOps deployment tool.,5,N,Y,100
C-02-1,C-02,Full agent context shared with all tools.,1,Y,Y,0
C-02-2,C-02,Manual truncation of prompts before calls.,2,N,Y,25
C-02-3,C-02,Static token length limits enforced.,3,N,Y,50
C-02-4,C-02,Need-to-know pruning via a stream-processing framework validations.,4,N,Y,75
C-02-5,C-02,Inline PII redaction and context minimization via a PII redaction engine integration.,5,N,Y,100
C-03-1,C-03,"Cleartext traffic; Vulnerable to MITM attacks.",1,Y,Y,0
C-03-2,C-03,Standard SSL/TLS without certificate validation.,2,N,Y,25
C-03-3,C-03,Enforced TLS 1.2+ for all tool communications.,3,N,Y,50
C-03-4,C-03,Certificate pinning implemented via an API framework with TLS support.,4,N,Y,75
C-03-5,C-03,Mandatory mTLS with cert-manager for all tool sessions.,5,N,Y,100
C-04-1,C-04,Malicious tools executing arbitrary code (RCE).,1,Y,Y,0
C-04-2,C-04,Static list of allowed tools reviewed manually.,2,N,Y,25
C-04-3,C-04,Registry-based validation of tool signatures.,3,N,Y,50
C-04-4,C-04,Runtime verification of tool integrity via a relational database registry.,4,N,Y,75
C-04-5,C-04,Sandboxed tool execution with cryptographically signed artifacts.,5,N,Y,100
C-05-1,C-05,Tool chaining leads to unintended multi-hop attacks.,1,Y,Y,0
C-05-2,C-05,Manual review of common tool-chain runbooks.,2,N,Y,25
C-05-3,C-05,Policy-as-code approval for common tool sequences.,3,N,Y,50
C-05-4,C-05,Enforceable policy checks via a policy enforcement library.,4,N,Y,75
C-05-5,C-05,Zero-trust action approval and reasoning validation via a policy-as-code engine.,5,N,Y,100
C-06-1,C-06,Ad-hoc tracking of servers in documentation.,1,Y,Y,0
C-06-2,C-06,Ad-hoc tracking of servers in documentation.,2,N,Y,25
C-06-3,C-06,Automated discovery scans for active endpoints.,3,N,Y,50
C-06-4,C-06,Centralized a relational database registry for all assets.,4,N,Y,75
C-06-5,C-06,Registry-enforced gating integrated with a GitOps deployment tool for all deployments.,5,N,Y,100
C-07-1,C-07,Reliance on basic API keys or shared secrets.,1,Y,Y,0
C-07-2,C-07,Role-based tool access implemented.,2,N,Y,25
C-07-3,C-07,Role-based tool access implemented.,3,N,Y,50
C-07-4,C-07,Context-aware tool authorisation via an API framework with TLS support.,4,N,Y,75
C-07-5,C-07,Just-in-time (JIT) tool tokens and mTLS authentication.,5,N,Y,100
C-08-1,C-08,Basic proxy logging for high-level traffic.,1,Y,Y,0
C-08-2,C-08,Basic proxy logging for high-level traffic.,2,N,Y,25
C-08-3,C-08,Periodic manual review of egress traffic logs.,3,N,Y,50
C-08-4,C-08,Real-time traffic anomaly detection via an API gateway with traffic analytics.,4,N,Y,75
C-08-5,C-08,Inline DLP scanning and blocking via an inline DLP proxy.,5,N,Y,100
C-09-1,C-09,Manual configuration updates and ad-hoc changes.,1,Y,Y,0
C-09-2,C-09,Manual configuration updates and ad-hoc changes.,2,N,Y,25
C-09-3,C-09,Periodic automated schema and freshness checks.,3,N,Y,50
C-09-4,C-09,GitOps-driven configuration management via a GitOps deployment engine.,4,N,Y,75
C-09-5,C-09,Automated configuration drift monitoring and reconciliation via GitOps operators.,5,N,Y,100
C-10-1,C-10,Universal shared instances for all agents.,1,Y,Y,0
C-10-2,C-10,Universal shared instances for all agents.,2,N,Y,25
C-10-3,C-10,Static isolation by agent cohort or domain.,3,N,Y,50
C-10-4,C-10,Per-agent MCP instances and container pod isolation.,4,N,Y,75
C-10-5,C-10,Full blast-radius containment with per-agent MCP container pods and Operators.,5,N,Y,100
D-01-1,D-01,"No lineage or verification. Untracked data modifications allow malicious samples.",1,Y,Y,0
D-01-2,D-01,"Manual tracking. Logs of primary sources; No systematic integrity scanning.",2,N,Y,25
D-01-3,D-01,Automated integrity lineage. Basic provenance tracking via a data lineage and metadata platform.,3,N,Y,50
D-01-4,D-01,Validated integrity. Provenance hashes validated upstream via a dataset versioning platform.,4,N,Y,75
D-01-5,D-01,Leading detection. Real-time adversarial scanning using an adversarial robustness toolkit or an automated data quality scanner.,5,N,Y,100
D-02-1,D-02,"Raw PII exposed. Discovery or masking is absent; Model memorises sensitive records.",1,Y,Y,0
D-02-2,D-02,"Manual reduction. Ad-hoc removal of high-profile fields; No automation.",2,N,Y,25
D-02-3,D-02,Automated scanners. Pipeline scanners like a PII scanning tool flag some data.,3,N,Y,50
D-02-4,D-02,Automated classification. Data classified/guardrailed via a data classification and access control platform.,4,N,Y,75
D-02-5,D-02,Real-time DLP. Validated tokenisation and privacy layers using a PII redaction engine or equivalent.,5,N,Y,100
D-03-1,D-03,No monitoring. Silent distribution shifts cause model performance degradation.,1,Y,Y,0
D-03-2,D-03,Irregular checks. Ad-hoc manual verification of data distribution.,2,N,Y,25
D-03-3,D-03,Schema validation. Freshness and schema checks via a data quality transformation and testing framework.,3,N,Y,50
D-03-4,D-03,Continuous monitoring. Drift alerts and tracking implemented via a data/model monitoring platform.,4,N,Y,75
D-03-5,D-03,Vault integration. Automated revocation and cycling via a secrets management vault.,5,N,Y,100
D-04-1,D-04,"Cleartext credentials. API keys or credentials embedded in training/RAG data.",1,Y,Y,0
D-04-2,D-04,"Manual search. Ad-hoc removal of keys upon discovery; High risk of oversight.",2,N,Y,25
D-04-3,D-04,Automated scanning. Keyword scanners in pipelines for common secret formats.,3,N,Y,50
D-04-4,D-04,Automated 3rd-party. Credential detection with a security scanning tool and real-time tracking.,4,N,Y,75
D-04-5,D-04,Real-time revocation. Driven circuit scanners using a data monitoring platform and tokens for data assets.,5,N,Y,100
D-05-1,D-05,No 3rd party verification. Ingestion from public repos without technical checks.,1,Y,Y,0
D-05-2,D-05,Reputation reliance. Trusting vendor claims without independent verification.,2,N,Y,25
D-05-3,D-05,"Policy defined. Retention periods defined by data class; Manually reviewed.",3,N,Y,50
D-05-4,D-05,Automated parsing. An automated data parser-based parsing and a relational database partitioning implemented.,4,N,Y,75
D-05-5,D-05,Full provenance. Audit trails for all modifications tracked via a data lineage and metadata platform.,5,N,Y,100
D-06-1,D-06,Indefinite storage. Long-term storage expands the breach blast radius.,1,Y,Y,0
D-06-2,D-06,"Manual deletion. Data purged manually following project closure; Inconsistent.",2,N,Y,25
D-06-3,D-06,Full set versioning. Versioning applied only to final production training sets.,3,N,Y,50
D-06-4,D-06,"Metadata management. Real-time, comprehensive lineage mapping via a data lineage and metadata platform.",4,N,Y,75
D-06-5,D-06,CISO quality gating. Automated pipeline halts for missing metadata via a privacy-preserving compute platform.,5,N,Y,100
D-07-1,D-07,No modification tracking. Incident investigations fail due to lack of audit trails.,1,Y,Y,0
D-07-2,D-07,Manual spreadsheets. Major versions tracked in shared documents.,2,N,Y,25
D-07-3,D-07,Automated lineage checks. Freshness and schema checks run at pipeline ingress.,3,N,Y,50
D-07-4,D-07,Continuous QA. End-to-end signal quality validation via a data observability platform.,4,N,Y,75
D-07-5,D-07,Differential privacy. Automated pipeline halts for missing metadata via a privacy-preserving compute platform.,5,N,Y,100
D-08-1,D-08,No validation. Garbage-in-garbage-out leads to systematic decision errors.,1,Y,Y,0
D-08-2,D-08,Ad-hoc samples. Visual inspection of samples before training.,2,N,Y,25
D-08-3,D-08,Statistical de-identification. Manual application of a synthetic data generation library for anonymisation.,3,N,Y,50
D-08-4,D-08,Advanced pseudonymisation. Validation of identifiers related to reconstruction.,4,N,Y,75
D-08-5,D-08,Poison detection. Indicators scanned in all synthetic sets pre-usage.,5,N,Y,100
D-09-1,D-09,No privacy controls. Attackers can determine if specific records were in training set.,1,Y,Y,0
D-09-2,D-09,Visual inspection. Samples reviewed manually for realism.,2,N,Y,25
D-09-3,D-09,Statistical comparison. Automated comparison between real and synthetic sets.,3,N,Y,50
D-09-4,D-09,Advanced augmentation. Synthetic quality validated using a synthetic data quality validator API.,4,N,Y,75
D-09-5,D-09,Differential privacy. Privacy-preserving integration with training via a privacy-preserving compute platform.,5,N,Y,100
D-10-1,D-10,No quality testing. Poor synthetic data mimics real poisoning effects.,1,Y,Y,0
D-10-2,D-10,Keyword filtering. Basic keyword-based blocklists for sensitive categories.,2,N,Y,25
D-10-3,D-10,Pre-deployment evals. Safety evaluations conducted before deploying using an AI evaluation benchmark suite.,3,N,Y,50
D-10-4,D-10,Multi-layer filters. Output filtering with LDL/L1 guardrails.,4,N,Y,75
D-10-5,D-10,Adversarial testing. Synthetic quality gating via an adversarial robustness toolkit.,5,N,Y,100
M-01-1,M-01,"Direct input processing. No filtering or safety evaluations; Direct user input accepted.",1,Y,Y,0
M-01-2,M-01,Standard throttling. Basic rate limiting enforced at the API gateway.,2,N,Y,25
M-01-3,M-01,Pattern monitoring. Monitoring for high-frequency extraction patterns.,3,N,Y,50
M-01-4,M-01,Embedded signatures. Training stamps augmented with adversarial markers.,4,N,Y,75
M-01-5,M-01,Real-time protection. Content protector via an LLM input/output firewall or an LLM guardrails framework.,5,N,Y,100
M-02-1,M-02,Unrestricted access. No query monitoring or extraction detection.,1,Y,Y,0
M-02-2,M-02,Input sanitisation. Basic sanitising of inputs to remove malicious characters.,2,N,Y,25
M-02-3,M-02,Robustness benchmarks. Adversarial benchmarks run pre-deployment using an adversarial robustness benchmark suite.,3,N,Y,50
M-02-4,M-02,Automated. Quarterly safety benchmarks using an AI evaluation benchmark suite or an AI safety benchmarking tool.,4,N,Y,75
M-02-5,M-02,Certified defences. Use of certified defences and an adversarial robustness toolkit.,5,N,Y,100
M-03-1,M-03,No robustness testing. Vulnerable to misclassification from crafted inputs.,1,Y,Y,0
M-03-2,M-03,Input sanitisation. Basic sanitising of inputs to remove malicious characters.,2,N,Y,25
M-03-3,M-03,Manual red-teaming. Irregular manual red-teaming exercises pre-release.,3,N,Y,50
M-03-4,M-03,Automated. Validated masking of ingestion with a synthetic data generation library.,4,N,Y,75
M-03-5,M-03,Differential privacy. Privacy-preserving training implemented via a privacy-preserving compute platform.,5,N,Y,100
M-04-1,M-04,No safety gates. Model can generate harmful content without restriction.,1,Y,Y,0
M-04-2,M-04,Base model safety. Reliance on the base provider's inherent safety tuning.,2,N,Y,25
M-04-3,M-04,Manual red-teaming. Irregular manual red-teaming exercises pre-release.,3,N,Y,50
M-04-4,M-04,Automated red-teaming. Quarterly safety benchmarks using an AI evaluation benchmark suite or an AI safety benchmarking tool.,4,N,Y,75
M-04-5,M-04,Adversarial testing with ML-based classifiers and real-time adaptive throttling.,5,N,Y,100
M-05-1,M-05,No privacy masking. Training data easily reconstructed from model outputs.,1,Y,Y,0
M-05-2,M-05,Basic masking. Standard identification and masking of primary identifiers.,2,N,Y,25
M-05-3,M-05,Reconstruction tests. Periodic manual testing for data reconstruction.,3,N,Y,50
M-05-4,M-05,Temperature scaling. Calibration techniques applied to normalize output probabilities.,4,N,Y,75
M-05-5,M-05,Adversarial robustness. Implementation of Bayesian heads on MC dropout for estimation.,5,N,Y,100
M-06-1,M-06,No confidence signals. Predictions lack reliable uncertainty measures.,1,Y,Y,0
M-06-2,M-06,Manual sanity checks. User-driven identification of overconfident errors.,2,N,Y,25
M-06-3,M-06,Safety benchmarks. Standard bias benchmarks run as part of an AI evaluation benchmark suite.,3,N,Y,50
M-06-4,M-06,Automated monitoring. Continuous monitoring of outputs for bias patterns.,4,N,Y,75
M-06-5,M-06,Automated calibration. Low-confidence scores trigger human review via a risk flag.,5,N,Y,100
M-07-1,M-07,No bias checks. Societal biases in training data are amplified unchecked.,1,Y,Y,0
M-07-2,M-07,Auditory reviews. Occasional manual reviews for demographic bias.,2,N,Y,25
M-07-3,M-07,Data scanning. Periodic scanning of fine-tuning data for statistical anomalies.,3,N,Y,50
M-07-4,M-07,Automated monitoring. Continuous monitoring of outputs for bias patterns.,4,N,Y,75
M-07-5,M-07,Real-time mitigation. Dynamic output calibration using a toxicity/bias scoring API.,5,N,Y,100
M-08-1,M-08,No scanning. Hidden triggers allow targeted malicious behaviour.,1,Y,Y,0
M-08-2,M-08,Provider reliance. Reliance on base-model provider safety claims.,2,N,Y,25
M-08-3,M-08,Outlier detection. Pre-training outlier detection using a pre-training outlier detection tool or an adversarial robustness toolkit.,3,N,Y,50
M-08-4,M-08,Continuous tracking. Continuous observability implemented via an LLM observability platform or an AI observability platform.,4,N,Y,75
M-08-5,M-08,Automated failure. Drift detection triggers failover to Challenger Model via a split-test pattern.,5,N,Y,100
M-09-1,M-09,No observability. Silent degradation goes unnoticed after deployment.,1,Y,Y,0
M-09-2,M-09,User reporting. Ad-hoc feedback loops for performance issues.,2,N,Y,25
M-09-3,M-09,Metric monitoring. Automated tracking of latency and error rates.,3,N,Y,50
M-09-4,M-09,Free-Ring Signals. Advanced hidden signals embedded in generations.,4,N,Y,75
M-09-5,M-09,"Robustness watermarks. Undetectable, robust watermarks verifiable at output layer.",5,N,Y,100
M-10-1,M-10,No traceability. Traceability markers are absent or easily removed.,1,Y,Y,0
M-10-2,M-10,Simple text markers. Basic text-based watermark easily bypassed.,2,N,Y,25
M-10-3,M-10,Standard signatures. Standard watermark signatures without verification tools.,3,N,Y,50
M-10-4,M-10,Free-Ring Signals. Advanced hidden signals embedded in generations.,4,N,Y,75
M-10-5,M-10,"Robustness watermarks. Undetectable, robust watermarks verifiable at output layer.",5,N,Y,100
P-01-1,P-01,Static keys with no rotation or MFA.,1,Y,Y,0
P-01-2,P-01,Long-level keys with manual tracking.,2,N,Y,25
P-01-3,P-01,Key-isolated policy in place with vault usage.,3,N,Y,50
P-01-4,P-01,Automated rotation via an API gateway with traffic analytics.,4,N,Y,75
P-01-5,P-01,MFA enabled with short-lived JWTs for all model endpoints.,5,N,Y,100
P-02-1,P-02,"No throttling; High-volume extraction possible.",1,Y,Y,0
P-02-2,P-02,Static global limits applied at the gateway.,2,N,Y,25
P-02-3,P-02,Per-key and global rate limits implemented.,3,N,Y,50
P-02-4,P-02,Inline DLP scanning before context release via a DLP scanning engine.,4,N,Y,75
P-02-5,P-02,Zero-trust inputs with real-time payload inspection using an LLM input/output firewall.,5,N,Y,100
P-03-1,P-03,"No backend validation; Malicious payloads accepted.",1,Y,Y,0
P-03-2,P-03,Basic keyword-based input sanitisation.,2,N,Y,25
P-03-3,P-03,Backend validation logic embedded in the API layer.,3,N,Y,50
P-03-4,P-03,Inline DLP scanning before context release via a DLP scanning engine.,4,N,Y,75
P-03-5,P-03,Zero-trust inputs with real-time payload inspection using an LLM input/output firewall.,5,N,Y,100
P-04-1,P-04,Universal tokens allowing all operations.,1,Y,Y,0
P-04-2,P-04,"Broad role-based access; High privilege escalation risk.",2,N,Y,25
P-04-3,P-04,Granular RBAC scoping APIs by asset type and action.,3,N,Y,50
P-04-4,P-04,FAST-integrated middleware using a policy enforcement library for fine-grained control.,4,N,Y,75
P-04-5,P-04,Dynamic scope assignment and just-in-time (JIT) permissions.,5,N,Y,100
P-05-1,P-05,Full stack traces leaked in error messages.,1,Y,Y,0
P-05-2,P-05,Generic error messages with some technical detail.,2,N,Y,25
P-05-3,P-05,"Internal codes mapped to external IDs; No secrets leaked.",3,N,Y,50
P-05-4,P-05,Automated redaction of error payloads via a PII redaction engine.,4,N,Y,75
P-05-5,P-05,Fully sanitised/logged errors with pin-pricked exception stacks.,5,N,Y,100
P-06-1,P-06,"Shared keys for all tenants; Multi-tenant compromise risk.",1,Y,Y,0
P-06-2,P-06,"Static client buckets; No strict isolation.",2,N,Y,25
P-06-3,P-06,Token-based identification of unique clients.,3,N,Y,50
P-06-4,P-06,RBAC-enforced isolation by action and asset using a policy enforcement library.,4,N,Y,75
P-06-5,P-06,Cryptographic multi-tenant isolation with per-client routing.,5,N,Y,100
P-07-1,P-07,Unbounded compute/token consumption.,1,Y,Y,0
P-07-2,P-07,Manual billing alerts triggered after thresholds.,2,N,Y,25
P-07-3,P-07,Static monthly quotas assigned per API key.,3,N,Y,50
P-07-4,P-07,Tiered quotas enforced via an in-memory data store-backed limiting.,4,N,Y,75
P-07-5,P-07,Real-time token gating and automated resource circuit breakers.,5,N,Y,100
P-08-1,P-08,No protection against service degradation.,1,Y,Y,0
P-08-2,P-08,Basic IP-based rate limiting.,2,N,Y,25
P-08-3,P-08,Standard per-key rate limiting implementation.,3,N,Y,50
P-08-4,P-08,Distributed limiting and burst protection using an API rate-limiting middleware.,4,N,Y,75
P-08-5,P-08,Global protective gates with an in-memory data store-backed persistence.,5,N,Y,100
P-09-1,P-09,"No traffic logs; Blind monitoring of abuse.",1,Y,Y,0
P-09-2,P-09,"Standard access logs; Unstructured text.",2,N,Y,25
P-09-3,P-09,Structured decision and action logs.,3,N,Y,50
P-09-4,P-09,Tamper-proof traces stored in ELK stack or a columnar analytics database.,4,N,Y,75
P-09-5,P-09,Full traceability trace and orchestration paths.,5,N,Y,100
P-10-1,P-10,Basic auth or keys without rotation.,1,Y,Y,0
P-10-2,P-10,Static keys with irregular manual updates.,2,N,Y,25
P-10-3,P-10,Standard OAuth2 implementation.,3,N,Y,50
P-10-4,P-10,Vault-integrated rotation with defined policies.,4,N,Y,75
P-10-5,P-10,MFA enabled with short-lived JWTs for all model endpoints.,5,N,Y,100
S-01-1,S-01,Malicious signals trigger erroneous workflows without validation.,1,Y,Y,0
S-01-2,S-01,Manual review of a sample of input signals.,2,N,Y,25
S-01-3,S-01,Signals validated against fixed schemas via a schema validation library.,3,N,Y,50
S-01-4,S-01,Automated state transition checks via a workflow orchestration engine.,4,N,Y,75
S-01-5,S-01,Adversarial state transition canary sensors to detect impact.,5,N,Y,100
S-02-1,S-02,AI recommendations violate business rules or regulatory requirements.,1,Y,Y,0
S-02-2,S-02,Ad-hoc manual audits of AI-generated decisions.,2,N,Y,25
S-02-3,S-02,Periodic audits and documented governance policies.,3,N,Y,50
S-02-4,S-02,Output validation against hardcoded rules using Easy Rules or Drools.,4,N,Y,75
S-02-5,S-02,Real-time enforcement via automated governance platforms like Drata or Vanta.,5,N,Y,100
S-03-1,S-03,Unauthorised/unknown AI systems operating in the environment.,1,Y,Y,0
S-03-2,S-03,Manual inventory of AI assets updated on an irregular basis.,2,N,Y,25
S-03-3,S-03,Discovery scans on network traffic to identify AI endpoints.,3,N,Y,50
S-03-4,S-03,Continuous drift and latency monitoring via an LLM observability platform or an AI observability platform.,4,N,Y,75
S-03-5,S-03,Automated scanning of failover triggered by a data validation framework or an AI observability platform.,5,N,Y,100
S-04-1,S-04,Silent degradation of AI recommendations over time.,1,Y,Y,0
S-04-2,S-04,"User-reported errors only; No proactive tracking.",2,N,Y,25
S-04-3,S-04,Automated tracking of high-level performance metrics.,3,N,Y,50
S-04-4,S-04,Integrated DLP and downstream policy checks using a DLP scanning engine.,4,N,Y,75
S-04-5,S-04,Structured logging of all decision paths via ELK stack.,5,N,Y,100
S-05-1,S-05,Compromised AI systems affect downstream production systems.,1,Y,Y,0
S-05-2,S-05,No isolation between AI and downstream infra.,2,N,Y,25
S-05-3,S-05,Basic egress filtering and rate limiting applied.,3,N,Y,50
S-05-4,S-05,Integrated DLP and downstream policy checks using a DLP scanning engine stack.,4,N,Y,75
S-05-5,S-05,"Tamper-proof, replayable traces stored in a columnar analytics database.",5,N,Y,100
S-06-1,S-06,No logging of AI decisions or system signals.,1,Y,Y,0
S-06-2,S-06,Basic unstructured text logs of system activity.,2,N,Y,25
S-06-3,S-06,Structured decision and action logs.,3,N,Y,50
S-06-4,S-06,Tamper-proof traces stored in ELK stack or a columnar analytics database.,4,N,Y,75
S-06-5,S-06,Full traceability trace and orchestration paths.,5,N,Y,100
S-07-1,S-07,No limits on AI Compute or API consumption.,1,Y,Y,0
S-07-2,S-07,Manual monitoring of infrastructure costs.,2,N,Y,25
S-07-3,S-07,"Static, approved gates for all workloads regardless of risk.",3,N,Y,50
S-07-4,S-07,Abstraction layers and multi-vendor threat modeling via a threat modeling tool.,4,N,Y,75
S-07-5,S-07,"Fully portable, model-agnostic architecture validated through STRIDE workshops.",5,N,Y,100
S-08-1,S-08,Fully autonomous workflows with no human gates.,1,Y,Y,0
S-08-2,S-08,Standardised API usage to allow for model swapping.,2,N,Y,25
S-08-3,S-08,Occasional manual ethical reviews of AI behaviour.,3,N,Y,50
S-08-4,S-08,Automated ethical patterns monitored via an LLM observability platform.,4,N,Y,75
S-08-5,S-08,Real-time ethical guardrails and automated scans using an adversarial robustness toolkit or equivalent.,5,N,Y,100
S-09-1,S-09,Deep integration with a single proprietary model/API.,1,Y,Y,0
S-09-2,S-09,Standardised API usage to allow for model swapping.,2,N,Y,25
S-09-3,S-09,Key-isolated policy in place with vault usage.,3,N,Y,50
S-09-4,S-09,Behavioural detection for anomaly query volumes via a UEBA analytics platform.,4,N,Y,75
S-09-5,S-09,ML-based baselines and real-time adaptive throttling.,5,N,Y,100
S-10-1,S-10,"No ethical evaluation or impact monitoring; AI outputs are not reviewed against ethical standards.",1,Y,Y,0
S-10-2,S-10,Occasional manual ethical reviews conducted informally with no documented criteria or follow-up actions.,2,N,Y,25
S-10-3,S-10,Documented ethics policy in place with scheduled reviews and a named owner responsible for AI ethics oversight.,3,N,Y,50
S-10-4,S-10,Automated monitoring of AI outputs for ethical patterns via an observability platform with alerts on drift indicators.,4,N,Y,75
S-10-5,S-10,"Real-time ethical guardrails on outputs, continuous compliance mapping against regulatory frameworks, and independent annual ethics audit.",5,N,Y,100
