Risk ID,Asset Type,Risk Name,CONTEXT,Score 0 (Gap),Score 25 (Weak),Score 50 (Baseline),Score 75 (Robust),Score 100 (Compliant)
M-11,Model,Prompt Injection,Third-Party,Vendor provides no injection defences and no ability for customers to layer their own filtering,Vendor applies basic keyword filtering but provides no documentation of coverage or bypass resistance,Vendor implements and documents multi-layer injection defences with pre-deployment safety evaluations shared on request,"Vendor provides real-time injection monitoring, shares red-team results, and allows customers to add supplementary filtering","Continuous automated red-teaming with verified guardrails, customer-accessible monitoring dashboards, and contractual SLAs on detection response"
M-12,Model,Jailbreaking,Third-Party,Vendor lacks any guardrail commitments or evidence of safety testing beyond base model defaults,Vendor references internal safety testing but provides no red-team evidence or benchmark results to customers,Vendor conducts and shares manual red-team results before major releases with a documented methodology,Automated safety benchmarks run on every release with results shared; vendor notifies customers of critical safety findings,"Continuous external penetration testing, bug bounty programme, and real-time safety monitoring dashboards accessible to customers"
M-13,Model,Overconfidence,Third-Party,Vendor exposes no confidence or uncertainty signals; outputs carry no reliability indicators,Vendor exposes raw softmax scores but applies no calibration; scores are not reliable indicators of actual accuracy,Vendor applies calibration techniques and documents the approach; calibration metrics available on request,Calibrated uncertainty estimates exposed via API with documentation; vendor monitors calibration quality in production,"Automated fallback routing for low-confidence outputs, real-time calibration monitoring, and contractual calibration quality thresholds"
M-14,Model,Bias Amplification,Third-Party,Vendor publishes no bias testing results or demographic fairness disclosures,"Vendor references internal bias reviews but provides no methodology, metrics, or results to customers",Vendor runs and shares standard bias benchmarks covering key demographic dimensions before major releases,Continuous output monitoring for demographic disparities with results shared; vendor notifies customers of material bias regressions,"Real-time bias guardrails on outputs, independent annual fairness audit, customer-accessible monitoring dashboards, and contractual fairness thresholds"
M-15,Model,Performance Drift,Third-Party,"Vendor does not monitor or notify customers of model updates, output changes, or performance degradation",Vendor announces major model changes informally but provides no performance metrics or proactive drift notification,Vendor monitors production performance and notifies customers of material degradation; basic performance metrics available on request,Continuous decision observability with customer-accessible dashboards; vendor proactively notifies on drift with root cause analysis,Automated failover or retuning when drift thresholds are breached; contractual performance SLAs with defined notification and remediation timelines
P-01,API,API Key Abuse,Third-Party,"Static API keys with no rotation, no MFA, and no usage monitoring",API keys can be manually rotated but no automated rotation or MFA available,Vendor supports key rotation schedules and provides per-key usage monitoring,Short-lived tokens with automated rotation and MFA for management operations,"Zero-trust authentication with short-lived credentials, MFA, and independent audit of auth controls"
P-02,API,Rate Limit Bypass,Third-Party,No rate limiting or throttling on API endpoints,Global rate limits applied but easily circumvented by key rotation or distributed requests,Per-key and per-endpoint rate limits documented and enforced,Adaptive rate limiting with behavioral anomaly detection and customer-configurable limits,ML-based abuse detection with real-time adaptive throttling and contractual protection guarantees
P-03,API,Input Injection,Third-Party,No server-side input validation or sanitization of API payloads,Basic input length limits and character filtering applied,Vendor validates inputs against defined schemas with documented safety filtering,Multi-layer input validation with DLP scanning and customer-configurable filtering rules,"Zero-trust input pipeline with real-time payload inspection, customer-managed policies, and independent audit"
P-04,API,Over-Permissive Scopes,Third-Party,Single API key grants access to all resources and operations without restriction,Broad role-based access with limited granularity,Granular RBAC with per-resource and per-operation scoping available,Fine-grained access control with customer-managed policies and least-privilege enforcement,"Dynamic, context-aware access control with JIT provisioning and independent audit"
P-09,API,No Logging,Third-Party,Vendor provides no usage logs or audit trail to customers,Basic usage metrics available but no detailed request-level logging,Vendor provides request-level usage logs with export capability,"Structured, real-time logs exportable to customer SIEM with filtering and alerting",Tamper-proof audit logs with regulatory-grade retention and independent verification
P-11,API,Data In-Transit Encryption,Third-Party,API accepts unencrypted HTTP connections with no transport security,TLS available but not enforced; Older protocol versions accepted,TLS 1.2+ enforced for all API connections with valid certificates,Strong TLS configuration with certificate transparency and security headers,Mutual TLS available with customer-managed certificates and independent security assessment
P-12,API,API Versioning & Deprecation,Third-Party,No API versioning; Changes deployed directly with no notice or backward compatibility,Version identifiers exist but changes are communicated informally with no guaranteed notice period,Semantic versioning with documented deprecation policy and minimum notice period,Long-term version support with parallel access and automated migration tooling,Contractual version stability with customer-negotiable timelines and backward-compatible evolution
P-13,API,Usage Transparency,Third-Party,"No visibility into token consumption, costs, or request volumes",Monthly invoices with aggregate usage but no real-time visibility or detailed breakdown,"Usage dashboard with per-key, per-model breakdown and daily granularity","Real-time usage monitoring with budget alerts, projections, and programmatic access","Full cost attribution with chargeback support, anomaly detection, and contractual billing transparency"
P-14,API,Geo-Routing Control,Third-Party,No information about where API requests are processed or data is stored,Vendor discloses primary processing region but offers no customer control,Customer can select a processing region from available options,Granular geo-routing with contractual data residency guarantees and cross-region failover controls,Full data sovereignty controls with sovereign cloud options and regulatory-grade residency verification
P-15,API,Output Filtering Guarantees,Third-Party,API returns unfiltered model outputs with no content safety layer,Basic keyword-based output filtering with high false-negative rate,ML-based content safety filtering on outputs with documented categories,Multi-layer output filtering with customer-configurable safety thresholds and bypass reporting,Contractual safety filtering guarantees with continuous improvement SLA and independent evaluation
S-02,System,Compliance Violations,Third-Party,Vendor provides no evidence that the AI system meets any regulatory or business rule requirements,Vendor claims compliance but provides no audit evidence or certification,Vendor maps controls to relevant regulatory frameworks and provides compliance documentation,Vendor provides third-party audit evidence of compliance with relevant frameworks,Continuous compliance monitoring with real-time customer visibility and regulatory change tracking
S-04,System,Decision Drift,Third-Party,No mechanism for customers to monitor output quality or detect degradation over time,Customer relies on manual spot-checking to detect quality changes,Vendor provides basic usage analytics and performance metrics via dashboard,Vendor provides output quality monitoring with alerting on degradation,Contractual quality SLAs with automated drift detection and customer-facing monitoring
S-06,System,Audit Gaps,Third-Party,Vendor provides no audit logs or decision records for AI actions on your data,Vendor retains internal logs but does not share them with customers,Vendor provides customer-accessible audit logs of AI decisions and actions,"Structured, exportable audit logs with decision reasoning and integration with customer SIEM","Immutable, regulatory-grade audit trail with independent verification and contractual guarantees"
S-09,System,Vendor Lock-in,Third-Party,Deep integration with proprietary formats and APIs creating prohibitive switching costs,Vendor uses partially standard interfaces but core data or models are non-portable,Vendor provides data export and uses industry-standard API patterns,Vendor provides comprehensive portability tooling and multi-vendor architecture support,Vendor-neutral architecture with contractual portability guarantees and assisted migration
S-10,System,CI/CD Pipeline Compromise,Third-Party,"Vendor has no AI ethics policy, review board, or impact assessment process",Vendor publishes a general AI ethics statement with no enforcement mechanism or evidence of application,Vendor maintains an AI ethics policy with documented review processes and impact assessments,Vendor has an independent AI ethics review board with published findings and customer input mechanisms,Vendor holds an AI ethics certification or has completed an independent third-party ethics assessment with published results
S-11,System,SLA & Uptime Guarantees,Third-Party,"No SLA offered for availability, latency, or throughput",Vendor provides a best-effort availability target with no financial penalties,Contractual SLA covering availability with defined service credits for downtime,"Comprehensive SLA covering availability, latency, throughput, and error rates with financial penalties","Enterprise-grade SLA with custom terms, dedicated support, and real-time performance monitoring"
S-12,System,Incident Notification,Third-Party,"Vendor has no obligation to notify customers of security incidents, outages, or safety events",Vendor maintains a status page but provides no contractual notification obligations,Contractual obligation to notify customers of material incidents within a defined timeframe,Proactive incident notification with root cause analysis and customer-specific impact assessment,"Real-time incident visibility with contractual SLAs on notification, RCA, and remediation"
S-13,System,Right to Audit,Third-Party,No contractual right to audit vendor's AI-related controls or practices,Vendor provides a trust page or FAQ but does not allow direct or third-party audit,Vendor provides third-party audit reports on request covering standard security controls,Vendor allows customer-directed audit or provides AI-specific third-party assessments,"Comprehensive audit rights with AI-specific scope, regular cadence, and regulatory alignment"
S-14,System,Subprocessor Transparency,Third-Party,"Vendor does not disclose subprocessors, hosting providers, or underlying model providers",Vendor names primary hosting provider but does not disclose full subprocessor chain,Vendor publishes a subprocessor list covering all entities that process customer data,Vendor notifies customers of subprocessor changes with advance notice and objection rights,Full supply chain transparency with contractual controls and independent verification
S-15,System,Regulatory Alignment,Third-Party,Vendor demonstrates no awareness of or alignment with AI-specific regulation,Vendor acknowledges upcoming regulation but has taken no concrete compliance steps,Vendor has mapped controls to at least one major AI regulatory framework,Vendor holds AI-specific certification or has completed third-party regulatory readiness assessment,Full regulatory compliance across multiple frameworks with continuous monitoring and customer-facing evidence
