"atqro_code","atq_code","atqro_label","atqro_sequence","atqro_is_default","atqro_is_active","atqro_score_risk"
"A-11-R01","A-11","Vendor provides no visibility into what actions the agent performs","1","Y","Y","0"
"A-11-R02","A-11","Vendor provides summary-level activity reports with limited detail","2","N","Y","25"
"A-11-R03","A-11","Vendor provides action-level logs showing what the agent did, when, and on what data","3","N","Y","50"
"A-11-R04","A-11","Detailed, structured action logs with full reasoning traces exportable in standard formats","4","N","Y","75"
"A-11-R05","A-11","Immutable, tamper-proof action logs with independent audit and regulatory-grade traceability","5","N","Y","100"
"A-12-R01","A-12","No contractual or technical mechanism to limit what the agent can do in your environment","1","Y","Y","0"
"A-12-R02","A-12","General contractual language about agent scope but no technical enforcement","2","N","Y","25"
"A-12-R03","A-12","Contract defines agent scope with basic technical enforcement via permissions","3","N","Y","50"
"A-12-R04","A-12","Customer-configurable scope boundaries with technical enforcement and violation alerting","4","N","Y","75"
"A-12-R05","A-12","Formally specified scope boundaries with runtime enforcement, audit, and contractual penalties","5","N","Y","100"
"A-13-R01","A-13","Agent behavior and capabilities change without any customer notification","1","Y","Y","0"
"A-13-R02","A-13","Vendor announces major agent changes via blog or email but minor changes are unannounced","2","N","Y","25"
"A-13-R03","A-13","Vendor maintains a changelog for agent capabilities and notifies customers of updates","3","N","Y","50"
"A-13-R04","A-13","Vendor provides advance notice, version pinning, and staging environments to test changes","4","N","Y","75"
"A-13-R05","A-13","Contractual stability guarantees with customer-controlled update schedule and rollback capability","5","N","Y","100"
"A-14-R01","A-14","No mechanism to immediately stop the agent or revoke its access","1","Y","Y","0"
"A-14-R02","A-14","Agent can be stopped via support request but not in real time","2","N","Y","25"
"A-14-R03","A-14","Self-service mechanism to stop the agent and revoke its access credentials","3","N","Y","50"
"A-14-R04","A-14","Instant kill switch with automated rollback of in-flight actions","4","N","Y","75"
"A-14-R05","A-14","Contractually guaranteed kill switch with defined response time SLA and independent verification","5","N","Y","100"
"A-15-R01","A-15","No contractual terms addressing liability for agent actions or decisions","1","Y","Y","0"
"A-15-R02","A-15","Standard limitation of liability clause with no AI-specific provisions","2","N","Y","25"
"A-15-R03","A-15","Contract includes AI-specific liability provisions covering agent actions within defined scope","3","N","Y","50"
"A-15-R04","A-15","Comprehensive liability framework with tiered accountability based on action risk level","4","N","Y","75"
"A-15-R05","A-15","Full indemnification with escrow, insurance evidence, and regulatory-aligned accountability framework","5","N","Y","100"
"C-01-R01","C-01","MCP server source is unknown or unverifiable with no trust chain","1","Y","Y","0"
"C-01-R02","C-01","MCP server from a named vendor but with no verification mechanism","2","N","Y","25"
"C-01-R03","C-01","MCP server distributed with integrity verification and published by an identifiable vendor","3","N","Y","50"
"C-01-R04","C-01","MCP server from a vetted registry with provenance attestation and vulnerability scanning","4","N","Y","75"
"C-01-R05","C-01","MCP server with full supply chain verification, independent security audit, and continuous monitoring","5","N","Y","100"
"C-02-R01","C-02","MCP tool receives full agent context including all conversation history and system prompts","1","Y","Y","0"
"C-02-R02","C-02","Vendor claims context is limited but provides no evidence or customer controls","2","N","Y","25"
"C-02-R03","C-02","MCP tool receives only the parameters documented in its schema with no extraneous context","3","N","Y","50"
"C-02-R04","C-02","Context minimization enforced with customer-visible data flow and PII filtering","4","N","Y","75"
"C-02-R05","C-02","Verified data minimization with independent audit and customer-managed filtering policies","5","N","Y","100"
"C-04-R01","C-04","MCP server can execute arbitrary code in the host environment without restriction","1","Y","Y","0"
"C-04-R02","C-04","MCP server runs with limited permissions but no formal sandboxing or code verification","2","N","Y","25"
"C-04-R03","C-04","MCP server runs in a sandboxed environment with signed and verified code","3","N","Y","50"
"C-04-R04","C-04","Runtime integrity verification with least-privilege execution and customer-configurable restrictions","4","N","Y","75"
"C-04-R05","C-04","Fully sandboxed execution with independent security audit and cryptographic attestation","5","N","Y","100"
"C-05-R01","C-05","MCP tools can be chained without restriction, enabling unintended multi-step operations","1","Y","Y","0"
"C-05-R02","C-05","Vendor documents common tool chains but provides no enforcement of approved sequences","2","N","Y","25"
"C-05-R03","C-05","Tool chaining policies defined and enforced with logging of multi-tool sequences","3","N","Y","50"
"C-05-R04","C-05","Customer-configurable chain policies with anomaly detection on tool sequences","4","N","Y","75"
"C-05-R05","C-05","Zero-trust tool chaining with per-step approval, independent audit, and contractual guarantees","5","N","Y","100"
"C-07-R01","C-07","MCP server accepts all incoming calls without authentication or caller verification","1","Y","Y","0"
"C-07-R02","C-07","MCP server uses shared API keys with no per-caller identity or context validation","2","N","Y","25"
"C-07-R03","C-07","MCP server authenticates callers with per-agent credentials and basic authorization","3","N","Y","50"
"C-07-R04","C-07","Context-aware authentication with short-lived tokens and caller identity verification","4","N","Y","75"
"C-07-R05","C-07","Just-in-time authentication with mutual TLS, cryptographic caller attestation, and independent audit","5","N","Y","100"
"C-11-R01","C-11","MCP server vendor has undergone no security vetting or due diligence","1","Y","Y","0"
"C-11-R02","C-11","Basic due diligence completed (e.g., company identity verified) but no security assessment","2","N","Y","25"
"C-11-R03","C-11","Vendor has completed a security questionnaire and provides basic security documentation","3","N","Y","50"
"C-11-R04","C-11","Vendor holds security certifications and has undergone third-party security assessment","4","N","Y","75"
"C-11-R05","C-11","Comprehensive vendor security program with continuous monitoring and customer-facing trust evidence","5","N","Y","100"
"C-12-R01","C-12","No information on whether the MCP server retains data after tool execution","1","Y","Y","0"
"C-12-R02","C-12","Vendor claims data is not retained but provides no evidence or contractual guarantee","2","N","Y","25"
"C-12-R03","C-12","Vendor documents data handling policy including what is retained, for how long, and why","3","N","Y","50"
"C-12-R04","C-12","Contractual guarantee of data handling with technical enforcement and audit evidence","4","N","Y","75"
"C-12-R05","C-12","Verified zero-retention or customer-controlled data lifecycle with independent audit","5","N","Y","100"
"C-13-R01","C-13","MCP server does not declare what permissions or access it requires","1","Y","Y","0"
"C-13-R02","C-13","General description of capabilities but no formal permission declaration","2","N","Y","25"
"C-13-R03","C-13","MCP server declares required permissions in a structured manifest before installation","3","N","Y","50"
"C-13-R04","C-13","Least-privilege permission declaration with customer approval workflow and runtime enforcement","4","N","Y","75"
"C-13-R05","C-13","Formally verified permission boundaries with independent audit and contractual guarantees","5","N","Y","100"
"C-14-R01","C-14","Vendor publishes no security updates, patches, or vulnerability disclosures","1","Y","Y","0"
"C-14-R02","C-14","Vendor releases patches irregularly with no defined schedule or disclosure process","2","N","Y","25"
"C-14-R03","C-14","Vendor maintains a regular update cadence with security patches identified separately","3","N","Y","50"
"C-14-R04","C-14","Vendor provides timely security patches with defined SLAs and customer notification","4","N","Y","75"
"C-14-R05","C-14","Continuous security maintenance with independent vulnerability assessment and contractual patch SLAs","5","N","Y","100"
"C-15-R01","C-15","No mechanism to revoke MCP server access or ensure data deletion when discontinuing use","1","Y","Y","0"
"C-15-R02","C-15","MCP server can be disconnected but credential revocation and data deletion require manual requests","2","N","Y","25"
"C-15-R03","C-15","Documented offboarding process with credential revocation and data deletion on request","3","N","Y","50"
"C-15-R04","C-15","Automated offboarding with immediate credential revocation, data purge, and confirmation receipt","4","N","Y","75"
"C-15-R05","C-15","Contractually guaranteed offboarding with verified data deletion, independent audit, and no residual access","5","N","Y","100"
"D-01-R01","D-01","Vendor provides no information about data integrity or provenance controls","1","Y","Y","0"
"D-01-R02","D-01","Vendor claims data integrity practices exist but provides no evidence","2","N","Y","25"
"D-01-R03","D-01","Vendor publishes a data sheet describing sources, collection methods, and basic integrity checks","3","N","Y","50"
"D-01-R04","D-01","Vendor provides independently verified provenance records with hash-based integrity validation","4","N","Y","75"
"D-01-R05","D-01","Vendor maintains continuous, auditable data integrity pipeline with real-time anomaly detection and customer-facing evidence","5","N","Y","100"
"D-02-R01","D-02","No Data Processing Agreement in place; Vendor handling of personal data is unknown","1","Y","Y","0"
"D-02-R02","D-02","Generic privacy policy exists but no AI-specific DPA or data handling addendum","2","N","Y","25"
"D-02-R03","D-02","Signed DPA covers AI-specific processing with defined lawful bases and data categories","3","N","Y","50"
"D-02-R04","D-02","Vendor demonstrates automated PII detection and de-identification in data pipelines","4","N","Y","75"
"D-02-R05","D-02","Vendor holds privacy certification with continuous PII monitoring and customer-facing compliance dashboard","5","N","Y","100"
"D-05-R01","D-05","Vendor does not disclose data sources or upstream dependencies","1","Y","Y","0"
"D-05-R02","D-05","Vendor names primary data sources but provides no verification of their integrity","2","N","Y","25"
"D-05-R03","D-05","Vendor documents upstream data sources and applies basic verification checks before ingestion","3","N","Y","50"
"D-05-R04","D-05","Vendor maintains a vetted supplier registry with automated integrity checks on incoming data","4","N","Y","75"
"D-05-R05","D-05","Full upstream provenance chain auditable end-to-end with third-party attestation","5","N","Y","100"
"D-06-R01","D-06","No data retention policy disclosed; Unclear how long vendor stores your data","1","Y","Y","0"
"D-06-R02","D-06","Vendor states a general retention policy but it is vague or not AI-specific","2","N","Y","25"
"D-06-R03","D-06","Contractual retention periods defined per data category with manual deletion on request","3","N","Y","50"
"D-06-R04","D-06","Automated retention enforcement with evidence of timely purging and customer notification","4","N","Y","75"
"D-06-R05","D-06","Continuous retention compliance with third-party verification and real-time customer visibility","5","N","Y","100"
"D-07-R01","D-07","Vendor provides no information about how data is transformed or versioned","1","Y","Y","0"
"D-07-R02","D-07","Vendor tracks major dataset versions but provides no transformation history","2","N","Y","25"
"D-07-R03","D-07","Vendor maintains documented data lineage showing sources, transformations, and versioning","3","N","Y","50"
"D-07-R04","D-07","Automated lineage tracking with customer-accessible audit trails per dataset version","4","N","Y","75"
"D-07-R05","D-07","Immutable, cryptographically signed lineage records independently auditable","5","N","Y","100"
"D-11-R01","D-11","Vendor does not disclose where data is stored or processed","1","Y","Y","0"
"D-11-R02","D-11","Vendor names hosting regions but makes no contractual commitment","2","N","Y","25"
"D-11-R03","D-11","Contractual commitment to data residency in specified regions","3","N","Y","50"
"D-11-R04","D-11","Vendor provides technical enforcement of residency with audit evidence","4","N","Y","75"
"D-11-R05","D-11","Continuous residency compliance with real-time monitoring and sovereign cloud options","5","N","Y","100"
"D-12-R01","D-12","Vendor provides no information about how training data was sourced or licensed","1","Y","Y","0"
"D-12-R02","D-12","Vendor makes general claims about data sourcing but provides no licensing evidence","2","N","Y","25"
"D-12-R03","D-12","Vendor documents data sources and applicable licenses in a data sheet or model card","3","N","Y","50"
"D-12-R04","D-12","Vendor provides evidence of license compliance and consent management processes","4","N","Y","75"
"D-12-R05","D-12","Independent legal review or certification of training data licensing with ongoing compliance monitoring","5","N","Y","100"
"D-13-R01","D-13","No mechanism to export your data from the vendor platform","1","Y","Y","0"
"D-13-R02","D-13","Data export possible via manual support request with no guaranteed format or timeline","2","N","Y","25"
"D-13-R03","D-13","Self-service data export in standard formats with documented process","3","N","Y","50"
"D-13-R04","D-13","Comprehensive export covering all data classes with contractual SLA on delivery","4","N","Y","75"
"D-13-R05","D-13","Real-time data portability with vendor-neutral formats and migration tooling","5","N","Y","100"
"D-14-R01","D-14","Vendor does not disclose how input/prompt data is stored, logged, or reused","1","Y","Y","0"
"D-14-R02","D-14","Vendor acknowledges input data is logged but provides no detail on retention or reuse","2","N","Y","25"
"D-14-R03","D-14","Vendor documents input data handling including storage duration, access, and opt-out of training reuse","3","N","Y","50"
"D-14-R04","D-14","Contractual guarantee that input data is not used for model improvement with technical enforcement","4","N","Y","75"
"D-14-R05","D-14","Verified zero-retention or customer-controlled encryption of input data with independent audit","5","N","Y","100"
"D-15-R01","D-15","No mechanism to request deletion of your data from vendor systems","1","Y","Y","0"
"D-15-R02","D-15","Deletion possible via email request with no SLA or confirmation","2","N","Y","25"
"D-15-R03","D-15","Documented deletion process with defined SLA and written confirmation","3","N","Y","50"
"D-15-R04","D-15","Deletion covers all data classes including backups and derived data with audit trail","4","N","Y","75"
"D-15-R05","D-15","Verified deletion with independent attestation and contractual penalty for non-compliance","5","N","Y","100"
"M-01-R01","M-01","Vendor provides no prompt injection defenses and no mechanism to add your own","1","Y","Y","0"
"M-01-R02","M-01","Vendor acknowledges prompt injection risk but offers only basic input length limits","2","N","Y","25"
"M-01-R03","M-01","Vendor implements system prompt isolation and basic pattern-based input filtering","3","N","Y","50"
"M-01-R04","M-01","Vendor provides layered injection defenses with customer-configurable guardrails","4","N","Y","75"
"M-01-R05","M-01","Continuous adversarial testing with published injection resistance benchmarks and SLA on defense updates","5","N","Y","100"
"M-04-R01","M-04","Vendor provides no safety guardrails or jailbreak defenses","1","Y","Y","0"
"M-04-R02","M-04","Vendor relies solely on base model safety tuning with no additional guardrails","2","N","Y","25"
"M-04-R03","M-04","Vendor implements output filtering and documents safety testing prior to release","3","N","Y","50"
"M-04-R04","M-04","Vendor conducts regular red-team exercises and shares results with customers","4","N","Y","75"
"M-04-R05","M-04","Continuous adversarial safety testing with real-time adaptive defenses and independent audit","5","N","Y","100"
"M-06-R01","M-06","Vendor exposes no confidence signals; Outputs are presented as deterministic facts","1","Y","Y","0"
"M-06-R02","M-06","Vendor documents model limitations but provides no technical confidence signals","2","N","Y","25"
"M-06-R03","M-06","Vendor exposes basic confidence signals such as logprobs or abstention triggers","3","N","Y","50"
"M-06-R04","M-06","Vendor provides calibrated confidence scores with documented calibration methodology","4","N","Y","75"
"M-06-R05","M-06","Vendor provides uncertainty quantification with customer-configurable thresholds and human-review escalation","5","N","Y","100"
"M-07-R01","M-07","Vendor publishes no bias testing or fairness disclosures","1","Y","Y","0"
"M-07-R02","M-07","Vendor acknowledges bias risk in general terms without specific testing evidence","2","N","Y","25"
"M-07-R03","M-07","Vendor publishes bias evaluation results using standard benchmarks","3","N","Y","50"
"M-07-R04","M-07","Vendor conducts regular bias audits with third-party involvement and publishes updated results per release","4","N","Y","75"
"M-07-R05","M-07","Continuous bias monitoring with real-time mitigation and customer-facing fairness dashboard","5","N","Y","100"
"M-09-R01","M-09","Vendor does not notify customers of model changes or provide performance tracking","1","Y","Y","0"
"M-09-R02","M-09","Vendor publishes occasional release notes but provides no systematic change notification","2","N","Y","25"
"M-09-R03","M-09","Vendor maintains a versioned changelog and notifies customers of model updates","3","N","Y","50"
"M-09-R04","M-09","Vendor provides model version pinning and customer-accessible performance benchmarks per version","4","N","Y","75"
"M-09-R05","M-09","Vendor guarantees performance stability SLAs with automated regression detection and customer alerting","5","N","Y","100"
"M-11-R01","M-11","Vendor provides no injection defences and no ability for customers to layer their own filtering","1","Y","Y","0"
"M-11-R02","M-11","Vendor applies basic keyword filtering but provides no documentation of coverage or bypass resistance","2","N","Y","25"
"M-11-R03","M-11","Vendor implements and documents multi-layer injection defences with pre-deployment safety evaluations shared on request","3","N","Y","50"
"M-11-R04","M-11","Vendor provides real-time injection monitoring, shares red-team results, and allows customers to add supplementary filtering","4","N","Y","75"
"M-11-R05","M-11","Continuous automated red-teaming with verified guardrails, customer-accessible monitoring dashboards, and contractual SLAs on detection response","5","N","Y","100"
"M-12-R01","M-12","Vendor lacks any guardrail commitments or evidence of safety testing beyond base model defaults","1","Y","Y","0"
"M-12-R02","M-12","Vendor references internal safety testing but provides no red-team evidence or benchmark results to customers","2","N","Y","25"
"M-12-R03","M-12","Vendor conducts and shares manual red-team results before major releases with a documented methodology","3","N","Y","50"
"M-12-R04","M-12","Automated safety benchmarks run on every release with results shared; vendor notifies customers of critical safety findings","4","N","Y","75"
"M-12-R05","M-12","Continuous external penetration testing, bug bounty programme, and real-time safety monitoring dashboards accessible to customers","5","N","Y","100"
"M-13-R01","M-13","Vendor exposes no confidence or uncertainty signals; outputs carry no reliability indicators","1","Y","Y","0"
"M-13-R02","M-13","Vendor exposes raw softmax scores but applies no calibration; scores are not reliable indicators of actual accuracy","2","N","Y","25"
"M-13-R03","M-13","Vendor applies calibration techniques and documents the approach; calibration metrics available on request","3","N","Y","50"
"M-13-R04","M-13","Calibrated uncertainty estimates exposed via API with documentation; vendor monitors calibration quality in production","4","N","Y","75"
"M-13-R05","M-13","Automated fallback routing for low-confidence outputs, real-time calibration monitoring, and contractual calibration quality thresholds","5","N","Y","100"
"M-14-R01","M-14","Vendor publishes no bias testing results or demographic fairness disclosures","1","Y","Y","0"
"M-14-R02","M-14","Vendor references internal bias reviews but provides no methodology, metrics, or results to customers","2","N","Y","25"
"M-14-R03","M-14","Vendor runs and shares standard bias benchmarks covering key demographic dimensions before major releases","3","N","Y","50"
"M-14-R04","M-14","Continuous output monitoring for demographic disparities with results shared; vendor notifies customers of material bias regressions","4","N","Y","75"
"M-14-R05","M-14","Real-time bias guardrails on outputs, independent annual fairness audit, customer-accessible monitoring dashboards, and contractual fairness thresholds","5","N","Y","100"
"M-15-R01","M-15","Vendor does not monitor or notify customers of model updates, output changes, or performance degradation","1","Y","Y","0"
"M-15-R02","M-15","Vendor announces major model changes informally but provides no performance metrics or proactive drift notification","2","N","Y","25"
"M-15-R03","M-15","Vendor monitors production performance and notifies customers of material degradation; basic performance metrics available on request","3","N","Y","50"
"M-15-R04","M-15","Continuous decision observability with customer-accessible dashboards; vendor proactively notifies on drift with root cause analysis","4","N","Y","75"
"M-15-R05","M-15","Automated failover or retuning when drift thresholds are breached; contractual performance SLAs with defined notification and remediation timelines","5","N","Y","100"
"P-01-R01","P-01","Static API keys with no rotation, no MFA, and no usage monitoring","1","Y","Y","0"
"P-01-R02","P-01","API keys can be manually rotated but no automated rotation or MFA available","2","N","Y","25"
"P-01-R03","P-01","Vendor supports key rotation schedules and provides per-key usage monitoring","3","N","Y","50"
"P-01-R04","P-01","Short-lived tokens with automated rotation and MFA for management operations","4","N","Y","75"
"P-01-R05","P-01","Zero-trust authentication with short-lived credentials, MFA, and independent audit of auth controls","5","N","Y","100"
"P-02-R01","P-02","No rate limiting or throttling on API endpoints","1","Y","Y","0"
"P-02-R02","P-02","Global rate limits applied but easily circumvented by key rotation or distributed requests","2","N","Y","25"
"P-02-R03","P-02","Per-key and per-endpoint rate limits documented and enforced","3","N","Y","50"
"P-02-R04","P-02","Adaptive rate limiting with behavioral anomaly detection and customer-configurable limits","4","N","Y","75"
"P-02-R05","P-02","ML-based abuse detection with real-time adaptive throttling and contractual protection guarantees","5","N","Y","100"
"P-03-R01","P-03","No server-side input validation or sanitization of API payloads","1","Y","Y","0"
"P-03-R02","P-03","Basic input length limits and character filtering applied","2","N","Y","25"
"P-03-R03","P-03","Vendor validates inputs against defined schemas with documented safety filtering","3","N","Y","50"
"P-03-R04","P-03","Multi-layer input validation with DLP scanning and customer-configurable filtering rules","4","N","Y","75"
"P-03-R05","P-03","Zero-trust input pipeline with real-time payload inspection, customer-managed policies, and independent audit","5","N","Y","100"
"P-04-R01","P-04","Single API key grants access to all resources and operations without restriction","1","Y","Y","0"
"P-04-R02","P-04","Broad role-based access with limited granularity","2","N","Y","25"
"P-04-R03","P-04","Granular RBAC with per-resource and per-operation scoping available","3","N","Y","50"
"P-04-R04","P-04","Fine-grained access control with customer-managed policies and least-privilege enforcement","4","N","Y","75"
"P-04-R05","P-04","Dynamic, context-aware access control with JIT provisioning and independent audit","5","N","Y","100"
"P-09-R01","P-09","Vendor provides no usage logs or audit trail to customers","1","Y","Y","0"
"P-09-R02","P-09","Basic usage metrics available but no detailed request-level logging","2","N","Y","25"
"P-09-R03","P-09","Vendor provides request-level usage logs with export capability","3","N","Y","50"
"P-09-R04","P-09","Structured, real-time logs exportable to customer SIEM with filtering and alerting","4","N","Y","75"
"P-09-R05","P-09","Tamper-proof audit logs with regulatory-grade retention and independent verification","5","N","Y","100"
"P-11-R01","P-11","API accepts unencrypted HTTP connections with no transport security","1","Y","Y","0"
"P-11-R02","P-11","TLS available but not enforced; Older protocol versions accepted","2","N","Y","25"
"P-11-R03","P-11","TLS 1.2+ enforced for all API connections with valid certificates","3","N","Y","50"
"P-11-R04","P-11","Strong TLS configuration with certificate transparency and security headers","4","N","Y","75"
"P-11-R05","P-11","Mutual TLS available with customer-managed certificates and independent security assessment","5","N","Y","100"
"P-12-R01","P-12","No API versioning; Changes deployed directly with no notice or backward compatibility","1","Y","Y","0"
"P-12-R02","P-12","Version identifiers exist but changes are communicated informally with no guaranteed notice period","2","N","Y","25"
"P-12-R03","P-12","Semantic versioning with documented deprecation policy and minimum notice period","3","N","Y","50"
"P-12-R04","P-12","Long-term version support with parallel access and automated migration tooling","4","N","Y","75"
"P-12-R05","P-12","Contractual version stability with customer-negotiable timelines and backward-compatible evolution","5","N","Y","100"
"P-13-R01","P-13","No visibility into token consumption, costs, or request volumes","1","Y","Y","0"
"P-13-R02","P-13","Monthly invoices with aggregate usage but no real-time visibility or detailed breakdown","2","N","Y","25"
"P-13-R03","P-13","Usage dashboard with per-key, per-model breakdown and daily granularity","3","N","Y","50"
"P-13-R04","P-13","Real-time usage monitoring with budget alerts, projections, and programmatic access","4","N","Y","75"
"P-13-R05","P-13","Full cost attribution with chargeback support, anomaly detection, and contractual billing transparency","5","N","Y","100"
"P-14-R01","P-14","No information about where API requests are processed or data is stored","1","Y","Y","0"
"P-14-R02","P-14","Vendor discloses primary processing region but offers no customer control","2","N","Y","25"
"P-14-R03","P-14","Customer can select a processing region from available options","3","N","Y","50"
"P-14-R04","P-14","Granular geo-routing with contractual data residency guarantees and cross-region failover controls","4","N","Y","75"
"P-14-R05","P-14","Full data sovereignty controls with sovereign cloud options and regulatory-grade residency verification","5","N","Y","100"
"P-15-R01","P-15","API returns unfiltered model outputs with no content safety layer","1","Y","Y","0"
"P-15-R02","P-15","Basic keyword-based output filtering with high false-negative rate","2","N","Y","25"
"P-15-R03","P-15","ML-based content safety filtering on outputs with documented categories","3","N","Y","50"
"P-15-R04","P-15","Multi-layer output filtering with customer-configurable safety thresholds and bypass reporting","4","N","Y","75"
"P-15-R05","P-15","Contractual safety filtering guarantees with continuous improvement SLA and independent evaluation","5","N","Y","100"
"S-02-R01","S-02","Vendor provides no evidence that the AI system meets any regulatory or business rule requirements","1","Y","Y","0"
"S-02-R02","S-02","Vendor claims compliance but provides no audit evidence or certification","2","N","Y","25"
"S-02-R03","S-02","Vendor maps controls to relevant regulatory frameworks and provides compliance documentation","3","N","Y","50"
"S-02-R04","S-02","Vendor provides third-party audit evidence of compliance with relevant frameworks","4","N","Y","75"
"S-02-R05","S-02","Continuous compliance monitoring with real-time customer visibility and regulatory change tracking","5","N","Y","100"
"S-04-R01","S-04","No mechanism for customers to monitor output quality or detect degradation over time","1","Y","Y","0"
"S-04-R02","S-04","Customer relies on manual spot-checking to detect quality changes","2","N","Y","25"
"S-04-R03","S-04","Vendor provides basic usage analytics and performance metrics via dashboard","3","N","Y","50"
"S-04-R04","S-04","Vendor provides output quality monitoring with alerting on degradation","4","N","Y","75"
"S-04-R05","S-04","Contractual quality SLAs with automated drift detection and customer-facing monitoring","5","N","Y","100"
"S-06-R01","S-06","Vendor provides no audit logs or decision records for AI actions on your data","1","Y","Y","0"
"S-06-R02","S-06","Vendor retains internal logs but does not share them with customers","2","N","Y","25"
"S-06-R03","S-06","Vendor provides customer-accessible audit logs of AI decisions and actions","3","N","Y","50"
"S-06-R04","S-06","Structured, exportable audit logs with decision reasoning and integration with customer SIEM","4","N","Y","75"
"S-06-R05","S-06","Immutable, regulatory-grade audit trail with independent verification and contractual guarantees","5","N","Y","100"
"S-09-R01","S-09","Deep integration with proprietary formats and APIs creating prohibitive switching costs","1","Y","Y","0"
"S-09-R02","S-09","Vendor uses partially standard interfaces but core data or models are non-portable","2","N","Y","25"
"S-09-R03","S-09","Vendor provides data export and uses industry-standard API patterns","3","N","Y","50"
"S-09-R04","S-09","Vendor provides comprehensive portability tooling and multi-vendor architecture support","4","N","Y","75"
"S-09-R05","S-09","Vendor-neutral architecture with contractual portability guarantees and assisted migration","5","N","Y","100"
"S-10-R01","S-10","Vendor has no AI ethics policy, review board, or impact assessment process","1","Y","Y","0"
"S-10-R02","S-10","Vendor publishes a general AI ethics statement with no enforcement mechanism or evidence of application","2","N","Y","25"
"S-10-R03","S-10","Vendor maintains an AI ethics policy with documented review processes and impact assessments","3","N","Y","50"
"S-10-R04","S-10","Vendor has an independent AI ethics review board with published findings and customer input mechanisms","4","N","Y","75"
"S-10-R05","S-10","Vendor holds an AI ethics certification or has completed an independent third-party ethics assessment with published results","5","N","Y","100"
"S-11-R01","S-11","No SLA offered for availability, latency, or throughput","1","Y","Y","0"
"S-11-R02","S-11","Vendor provides a best-effort availability target with no financial penalties","2","N","Y","25"
"S-11-R03","S-11","Contractual SLA covering availability with defined service credits for downtime","3","N","Y","50"
"S-11-R04","S-11","Comprehensive SLA covering availability, latency, throughput, and error rates with financial penalties","4","N","Y","75"
"S-11-R05","S-11","Enterprise-grade SLA with custom terms, dedicated support, and real-time performance monitoring","5","N","Y","100"
"S-12-R01","S-12","Vendor has no obligation to notify customers of security incidents, outages, or safety events","1","Y","Y","0"
"S-12-R02","S-12","Vendor maintains a status page but provides no contractual notification obligations","2","N","Y","25"
"S-12-R03","S-12","Contractual obligation to notify customers of material incidents within a defined timeframe","3","N","Y","50"
"S-12-R04","S-12","Proactive incident notification with root cause analysis and customer-specific impact assessment","4","N","Y","75"
"S-12-R05","S-12","Real-time incident visibility with contractual SLAs on notification, RCA, and remediation","5","N","Y","100"
"S-13-R01","S-13","No contractual right to audit vendor's AI-related controls or practices","1","Y","Y","0"
"S-13-R02","S-13","Vendor provides a trust page or FAQ but does not allow direct or third-party audit","2","N","Y","25"
"S-13-R03","S-13","Vendor provides third-party audit reports on request covering standard security controls","3","N","Y","50"
