"af_name","at_name","atmp_code","atq_code","atq_text","atq_response_type","atq_question_type","atq_is_mandatory","atq_is_active","atq_sequence"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-06","How well does the vendor expose confidence and uncertainty signals on model outputs to support calibrated decision-making?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-07","How comprehensively does the vendor publish bias testing reports and demographic fairness disclosures to support due diligence?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-09","How effectively does the vendor notify customers of model updates or output quality degradation to enable timely response?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-11","How comprehensively does the vendor publish model cards, technical documentation, and evaluation results to enable informed deployment decisions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-12","How well does the vendor communicate model version changes in advance to allow customers to test and validate before production impact?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-13","To what extent does the vendor provide tooling sufficient for customers to independently evaluate model quality, safety, and fairness?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-14","How effectively does the vendor enforce fine-tuning data isolation, weight ownership, and access controls to protect customer IP and privacy?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-15","How comprehensively has the vendor obtained recognised security and AI safety certifications through independent third-party assessment?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-01","How effectively does the vendor enforce documented scope boundaries and configurable restrictions on the tools and actions available to agents?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-02","How comprehensively does the vendor document agent objectives, termination criteria, and guardrails to prevent unintended behaviour?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-03","How effectively does the vendor protect agents from prompt injection attacks originating from externally accessible content and environments?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-07","How well does the vendor restrict and monitor agent egress to prevent sensitive data being transmitted to unverified or third-party endpoints?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-08","To what extent does the vendor provide configurable human-in-the-loop controls for high-risk or irreversible agent actions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-11","How effectively does the vendor enforce contractual and technical boundaries to restrict agent operations to your intended scope?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-12","How comprehensively does the vendor log and expose records of agent actions to support audit, investigation, and accountability?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-13","How well does the vendor notify customers in advance of changes to agent behaviour or capabilities before deployment?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-14","To what extent does the vendor provide mechanisms to immediately halt or revoke agent system access in the event of misbehaviour?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","A-15","How comprehensively does the vendor address contractual liability and indemnification for losses arising from agent-driven errors?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-01","How effectively does the vendor detect and prevent data poisoning in training pipelines to protect against compromised model outputs?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-02","How comprehensively does the vendor demonstrate GDPR-compliant data processing controls to prevent PII leakage through model training?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-05","How effectively does the vendor disclose and independently verify upstream data sources to protect against supply chain poisoning?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-06","How well does the vendor enforce and document data retention and deletion SLAs to prevent unnecessary retention of your data?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-07","How comprehensively does the vendor provide data lineage documentation and audit trails for changes to training data composition?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-11","To what extent does the vendor contractually commit to data residency restrictions that meet your jurisdictional and regulatory requirements?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-12","How effectively does the vendor document and enforce training data consent controls to prevent use of unlicensed or non-consented data?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-13","How well does the vendor support self-service data export and portability to enable migration without vendor lock-in?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-14","How transparently does the vendor disclose how prompt and input data is stored, logged, or reused within their systems?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","D-15","How effectively does the vendor support data subject erasure requests and enforce data minimisation across training sets and logs?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-01","How well does the vendor manage API key lifecycle, including rotation frequency, MFA enforcement, and monitoring for anomalous or fraudulent usage?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-02","How effectively does the vendor document and enforce rate limits to prevent high-volume extraction and denial-of-service attacks?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-03","How comprehensively does the vendor perform server-side validation and sanitisation of API inputs before processing?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-04","To what extent does the vendor provide granular permission scoping for API tokens and keys to enforce least privilege?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-09","How comprehensively does the vendor provide audit and observability capabilities over API usage to support compliance monitoring?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-11","How effectively does the vendor enforce strong transport security (TLS 1.2+) and certificate validation for all API communications?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-12","How well does the vendor manage API versioning and provide advance notice of breaking changes or deprecations?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-13","How comprehensively does the vendor provide real-time visibility into token consumption, request logs, and cost breakdown?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-14","To what extent does the vendor provide controls to restrict which geographic regions process your API calls?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","P-15","How effectively does the vendor apply and document content safety filtering to API responses?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-01","How effectively does the vendor vet and validate MCP servers to ensure only trusted and integrity-verified tools receive agent context?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-02","How well does the vendor restrict the agent context shared with MCP tools to only what is strictly necessary?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-04","How comprehensively does the vendor verify tool integrity before invocation to prevent malicious code execution through MCP servers?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-05","How effectively does the vendor enforce chain-level policy controls to prevent agents from being manipulated into constructing malicious tool sequences?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-07","How well does the vendor enforce caller authentication and context validation before allowing MCP tool execution?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-11","How comprehensively has the vendor been independently vetted for security posture to ensure MCP supply chain integrity?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-12","How transparently does the vendor disclose data retention practices after MCP tool execution and enforce deletion on request?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-13","How effectively does the vendor declare minimum required permissions before MCP server installation to support least-privilege access control?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-14","How well does the vendor publish and apply security updates and CVE disclosures for MCP servers to prevent unpatched vulnerabilities?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","C-15","How comprehensively does the vendor support full revocation of MCP server access and verified data deletion upon offboarding?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
