Risk ID,Asset Type,Risk Name,Score 0 (Gap),Score 25 (Weak),Score 50 (Baseline),Score 75 (Robust),Score 100 (Compliant)
SYS-Q07,System,Resource Exhaustion,"AI consumes disproportionate infra, causing availability failures.",No limits on AI compute or API consumption.,Manual monitoring of infrastructure costs.,Static per-asset quotas enforced via Redis-backed limits.,Predictive scaling and real-time throttling via FastAPI-Limiter.
SYS-Q08,System,False Automation,Over-automation causing operational chaos.,Fully autonomous workflows with no human gates.,Static approval gates for all workflows regardless of risk.,Risk-weighted gating and Airflow sensors for high-impact tasks.,Hard human-in-the-loop sign-off via n8n or Zapier Enterprise.
SYS-Q09,System,Vendor Lock-in,Single AI vendor creating strategic switching costs.,Deep integration with a single proprietary model/API.,Standardised API usage to allow for model swapping.,Abstraction layers and multi-vendor threat modelling via Threat Dragon.,"Fully portable, model-agnostic architecture validated through STRIDE workshops."
SYS-Q10,System,Ethical Drift,Gradual erosion of ethical standards in AI outcomes.,No ethical evaluation or impact monitoring.,Occasional manual ethical reviews of AI behavior.,Automated ethical patterns monitored via Langfuse observability.,Real-time ethical guardrails and compliance mapping via Drata or Vanta.
API-Q01,API,API Key Abuse,Static keys with no rotation or MFA.,Long-lived keys with manual tracking.,Key rotation policy in place with vault storage.,Automated rotation via HashiCorp Vault or AWS Secrets Manager.,"Short-lived JWTs and secure auth via OAuth2, Keycloak, or Auth0."
API-Q02,API,Rate Limit Bypass,No throttling; high-volume extraction possible.,Static global limits applied at the gateway.,Per-key and global rate limits implemented.,Behavioural detection for anomaly query volumes via Splunk UEBA.,ML-based baselines and real-time adaptive throttling.
API-Q03,API,Input Injection,No backend validation; malicious payloads accepted.,Basic keyword-based input sanitisation.,Backend validation logic embedded in the API layer.,Inline DLP scanning before context release via Nightfall AI or Presidio.,Zero-trust ingress with real-time payload inspection using Lakera Guard.
API-Q04,API,Over-Permissive Scopes,Universal tokens allowing all operations.,Broad role-based access; high privilege escalation risk.,Granular RBAC scoping APIs by asset type and action.,FastAPI-integrated middleware using Casbin for fine-grained control.,Dynamic scope assignment and just-in-time (JIT) API permissions.
API-Q05,API,Verbose Errors,Full stack traces leaked in error responses.,Generic error messages with some technical detail.,Internal codes mapped to external IDs; no secrets leaked.,Automated redaction of error payloads via Presidio.,Fully sanitized/encrypted logs with no prompt or secret leakage.
API-Q06,API,No Client Isolation,Shared keys for all tenants; multi-tenant compromise risk.,Static client buckets; no strict isolation.,Token-based identification of unique clients.,RBAC-enforced isolation by action and asset using Casbin.,Cryptographic multi-tenant isolation with per-client routing.
API-Q07,API,Missing Quotas,Unbounded compute/token consumption.,Manual billing alerts triggered after thresholds.,Static monthly quotas assigned per API key.,Tiered quotas enforced via Redis-backed limiting.,Real-time token gating and automated resource circuit breakers.
API-Q08,API,Weak Rate Limiting,No protection against service degradation.,Basic IP-based rate limiting.,Standard per-key rate limiting implementation.,Distributed limiting and burst protection using FastAPI-Limiter.,Global protective gates with Redis-backed persistence.
API-Q09,API,No Logging,No traffic logs; blind monitoring of abuse.,Standard access logs; unstructured text.,Structured decision and action logs.,Tamper-proof traces stored in ELK stack or ClickHouse.,Full replayable traces for all orchestration paths.
API-Q10,API,Legacy Auth,Basic auth or keys without rotation.,Static keys with irregular manual updates.,Standard OAuth2 implementation.,Vault-integrated rotation with defined policies.,MFA enabled with short-lived JWTs for all model endpoints.
MCP-Q01,MCP Server,Rogue MCP Servers,Unverified/unknown servers receive agent context.,Manual checking of endpoints against static lists.,GitOps change control for configurations.,Whitelist of approved endpoints via Flux.,Curated registry with signature validation in PostgreSQL via ArgoCD.
MCP-Q02,MCP Server,Context Oversharing,Full agent context shared with all tools.,Manual truncation of prompts before calls.,Static token length limits enforced.,Need-to-know truncation via Pydantic validators.,Inline PII masking and context minimisation via Presidio integration.
MCP-Q03,MCP Server,Unencrypted MCP,Cleartext traffic; vulnerable to MITM attacks.,Standard SSL/TLS without certificate validation.,Enforced TLS 1.2+ for all tool communications.,Certificate pinning implemented via FastAPI SSL.,Mandatory mTLS with cert-manager for all tool sessions.
MCP-Q04,MCP Server,Tool Injection,Malicious tools executing arbitrary code (RCE).,Static list of allowed tools reviewed manually.,Registry-based validation of tool signatures.,Runtime verification of tool integrity via PostgreSQL registry.,Sandboxed tool execution with cryptographically signed whitelists.
MCP-Q05,MCP Server,MCP Chain Abuse,Tool chaining leads to unintended multi-hop attacks.,Manual review of common tool-chain runbooks.,Policy-as-code approval for common tool sequences.,Enforced runtime policy checks via Casbin.,Zero-trust action approval and reasoning isolation via Open Policy Agent (OPA).
MCP-Q06,MCP Server,No MCP Registry,Shadow MCP deployments; untracked attack surface.,Ad-hoc tracking of servers in documentation.,Automated discovery scans for active endpoints.,Centralised PostgreSQL registry for all approved assets.,Registry-enforced gating integrated with ArgoCD for all deployments.
MCP-Q07,MCP Server,Weak Tool Auth,Tools callable without agent context validation.,Reliance on basic API keys or shared secrets.,Role-based tool access implemented.,Context-aware tool authentication via FastAPI SSL.,Just-in-time (JIT) tool tokens and mTLS authentication.
MCP-Q08,MCP Server,Egress Blind Spots,Undetected data exfiltration via tool endpoints.,Basic proxy logging for high-level traffic.,Periodic manual review of egress traffic logs.,Real-time traffic anomaly detection via Cloudflare Gateway.,Inline DLP scanning and blocking via Zscaler.
MCP-Q09,MCP Server,Config Drift,MCP configs diverging from approved secure states.,Manual configuration updates and ad-hoc audits.,Periodic automated schema and freshness checks.,GitOps-driven configuration management via Flux.,Automated remediation of drift via ArgoCD and Kubernetes operators.
MCP-Q10,MCP Server,Shared MCP Abuse,One compromised MCP affects multiple agents.,Universal shared instances for all agents.,Static isolation of tool instances by agent cohort.,Per-agent namespaces and isolation via PostgreSQL.,Cryptographic isolation of per-task tool contexts and mTLS.
