"atqro_code","atq_code","atqro_label","atqro_sequence","atqro_is_default","atqro_is_active","atqro_score_risk"
"DST-Q08","DST-Q08-R01","No validation. Garbage-in-garbage-out leads to systematic decision errors.","1","Y","Y","0"
"DST-Q08","DST-Q08-R02","Ad-hoc samples. Visual inspection of samples before training.","2","N","Y","25"
"DST-Q08","DST-Q08-R03","Automated checks. Freshness and schema checks run at pipeline ingress.","3","N","Y","50"
"DST-Q08","DST-Q08-R04","Continuous QA. End-to-end signal quality validation via Monte Carlo.","4","N","Y","75"
"DST-Q08","DST-Q08-R05","CI/CD quality gating. Automated pipeline halts for quality failures via Great Expectations.","5","N","Y","100"
"DST-Q09","DST-Q09-R01","No privacy controls. Attackers can determine if specific records were in training set.","1","Y","Y","0"
"DST-Q09","DST-Q09-R02","Basic masking. Standard identification of primary keys only.","2","N","Y","25"
"DST-Q09","DST-Q09-R03","Statistical de-identification. Manual application of Faker library for anonymisation.","3","N","Y","50"
"DST-Q09","DST-Q09-R04","Advanced pseudonymisation. Validated de-identification tested for reconstruction.","4","N","Y","75"
"DST-Q09","DST-Q09-R05","DP Integration. Differential privacy integrated into training via Opacus.","5","N","Y","100"
"DST-Q10","DST-Q10-R01","No quality testing. Poor synthetic data mimics real poisoning effects.","1","Y","Y","0"
"DST-Q10","DST-Q10-R02","Visual inspection. Samples reviewed manually for realism.","2","N","Y","25"
"DST-Q10","DST-Q10-R03","Statistical comparison. Automated comparison between real and synthetic sets.","3","N","Y","50"
"DST-Q10","DST-Q10-R04","Poison detection. Poison indicators scanned in all synthetic sets pre-usage.","4","N","Y","75"
"DST-Q10","DST-Q10-R05","Adversarial gating. Synthetic quality gating via Adversarial Robustness Toolbox (ART).","5","N","Y","100"
"MCP-Q01","MCP-Q01-R01","Unverified/unknown servers receive agent context.","1","Y","Y","0"
"MCP-Q01","MCP-Q01-R02","Manual checking of endpoints against static lists.","2","N","Y","25"
"MCP-Q01","MCP-Q01-R03","GitOps change control for configurations.","3","N","Y","50"
"MCP-Q01","MCP-Q01-R04","Whitelist of approved endpoints via Flux.","4","N","Y","75"
"MCP-Q01","MCP-Q01-R05","Curated registry with signature validation in PostgreSQL via ArgoCD.","5","N","Y","100"
"MCP-Q02","MCP-Q02-R01","Full agent context shared with all tools.","1","Y","Y","0"
"MCP-Q02","MCP-Q02-R02","Manual truncation of prompts before calls.","2","N","Y","25"
"MCP-Q02","MCP-Q02-R03","Static token length limits enforced.","3","N","Y","50"
"MCP-Q02","MCP-Q02-R04","Need-to-know truncation via Pydantic validators.","4","N","Y","75"
"MCP-Q02","MCP-Q02-R05","Inline PII masking and context minimisation via Presidio integration.","5","N","Y","100"
"MCP-Q03","MCP-Q03-R01","Cleartext traffic; vulnerable to MITM attacks.","1","Y","Y","0"
"MCP-Q03","MCP-Q03-R02","Standard SSL/TLS without certificate validation.","2","N","Y","25"
"MCP-Q03","MCP-Q03-R03","Enforced TLS 1.2+ for all tool communications.","3","N","Y","50"
"MCP-Q03","MCP-Q03-R04","Certificate pinning implemented via FastAPI SSL.","4","N","Y","75"
"MCP-Q03","MCP-Q03-R05","Mandatory mTLS with cert-manager for all tool sessions.","5","N","Y","100"
"MCP-Q04","MCP-Q04-R01","Malicious tools executing arbitrary code (RCE).","1","Y","Y","0"
"MCP-Q04","MCP-Q04-R02","Static list of allowed tools reviewed manually.","2","N","Y","25"
"MCP-Q04","MCP-Q04-R03","Registry-based validation of tool signatures.","3","N","Y","50"
"MCP-Q04","MCP-Q04-R04","Runtime verification of tool integrity via PostgreSQL registry.","4","N","Y","75"
"MCP-Q04","MCP-Q04-R05","Sandboxed tool execution with cryptographically signed whitelists.","5","N","Y","100"
"MCP-Q05","MCP-Q05-R01","Tool chaining leads to unintended multi-hop attacks.","1","Y","Y","0"
"MCP-Q05","MCP-Q05-R02","Manual review of common tool-chain runbooks.","2","N","Y","25"
"MCP-Q05","MCP-Q05-R03","Policy-as-code approval for common tool sequences.","3","N","Y","50"
"MCP-Q05","MCP-Q05-R04","Enforced runtime policy checks via Casbin.","4","N","Y","75"
"MCP-Q05","MCP-Q05-R05","Zero-trust action approval and reasoning isolation via Open Policy Agent (OPA).","5","N","Y","100"
"MCP-Q06","MCP-Q06-R01","Shadow MCP deployments; untracked attack surface.","1","Y","Y","0"
"MCP-Q06","MCP-Q06-R02","Ad-hoc tracking of servers in documentation.","2","N","Y","25"
"MCP-Q06","MCP-Q06-R03","Automated discovery scans for active endpoints.","3","N","Y","50"
"MCP-Q06","MCP-Q06-R04","Centralised PostgreSQL registry for all approved assets.","4","N","Y","75"
"MCP-Q06","MCP-Q06-R05","Registry-enforced gating integrated with ArgoCD for all deployments.","5","N","Y","100"
"MCP-Q07","MCP-Q07-R01","Tools callable without agent context validation.","1","Y","Y","0"
"MCP-Q07","MCP-Q07-R02","Reliance on basic API keys or shared secrets.","2","N","Y","25"
"MCP-Q07","MCP-Q07-R03","Role-based tool access implemented.","3","N","Y","50"
"MCP-Q07","MCP-Q07-R04","Context-aware tool authentication via FastAPI SSL.","4","N","Y","75"
"MCP-Q07","MCP-Q07-R05","Just-in-time (JIT) tool tokens and mTLS authentication.","5","N","Y","100"
"MCP-Q08","MCP-Q08-R01","Undetected data exfiltration via tool endpoints.","1","Y","Y","0"
"MCP-Q08","MCP-Q08-R02","Basic proxy logging for high-level traffic.","2","N","Y","25"
"MCP-Q08","MCP-Q08-R03","Periodic manual review of egress traffic logs.","3","N","Y","50"
"MCP-Q08","MCP-Q08-R04","Real-time traffic anomaly detection via Cloudflare Gateway.","4","N","Y","75"
"MCP-Q08","MCP-Q08-R05","Inline DLP scanning and blocking via Zscaler.","5","N","Y","100"
"MCP-Q09","MCP-Q09-R01","MCP configs diverging from approved secure states.","1","Y","Y","0"
"MCP-Q09","MCP-Q09-R02","Manual configuration updates and ad-hoc audits.","2","N","Y","25"
"MCP-Q09","MCP-Q09-R03","Periodic automated schema and freshness checks.","3","N","Y","50"
"MCP-Q09","MCP-Q09-R04","GitOps-driven configuration management via Flux.","4","N","Y","75"
"MCP-Q09","MCP-Q09-R05","Automated remediation of drift via ArgoCD and Kubernetes operators.","5","N","Y","100"
"MCP-Q10","MCP-Q10-R01","One compromised MCP affects multiple agents.","1","Y","Y","0"
"MCP-Q10","MCP-Q10-R02","Universal shared instances for all agents.","2","N","Y","25"
"MCP-Q10","MCP-Q10-R03","Static isolation of tool instances by agent cohort.","3","N","Y","50"
"MCP-Q10","MCP-Q10-R04","Per-agent namespaces and isolation via PostgreSQL.","4","N","Y","75"
"MCP-Q10","MCP-Q10-R05","Cryptographic isolation of per-task tool contexts and mTLS.","5","N","Y","100"
"MDL-Q01","MDL-Q01-R01","Direct input processing. No filtering or safety evaluations; direct user input accepted.","1","Y","Y","0"
"MDL-Q01","MDL-Q01-R02","Keyword filtering. Basic keyword-based blacklists for sensitive terms.","2","N","Y","25"
"MDL-Q01","MDL-Q01-R03","Pre-deployment evals. Safety evaluations conducted before deployment using HELM.","3","N","Y","50"
"MDL-Q01","MDL-Q01-R04","Multi-layer filters. Output filtering with L0/L1 guardrails.","4","N","Y","75"
"MDL-Q01","MDL-Q01-R05","Real-time protection. Continuous protection using Lakera Gandalf or NeMo Guardrails.","5","N","Y","100"
"MDL-Q02","MDL-Q02-R01","Unrestricted access. No query monitoring or extraction detection.","1","Y","Y","0"
"MDL-Q02","MDL-Q02-R02","Standard throttling. Basic rate limiting enforced at the API gateway.","2","N","Y","25"
"MDL-Q02","MDL-Q02-R03","Pattern monitoring. Monitoring for high-frequency extraction patterns.","3","N","Y","50"
"MDL-Q02","MDL-Q02-R04","Embedded signals. Detectable watermarks embedded in model outputs.","4","N","Y","75"
"MDL-Q02","MDL-Q02-R05","Verifiable signatures. Hidden signals detectable by verifiers using Tree-Ring.","5","N","Y","100"
"MDL-Q03","MDL-Q03-R01","No robustness testing. Vulnerable to misclassification from crafted inputs.","1","Y","Y","0"
"MDL-Q03","MDL-Q03-R02","Input sanitisation. Basic sanitisation of inputs to remove malicious characters.","2","N","Y","25"
"MDL-Q03","MDL-Q03-R03","Robustness benchmarks. Adversarial benchmarks run pre-deployment using Robustness Gym.","3","N","Y","50"
"MDL-Q03","MDL-Q03-R04","Augmented training. Training sets augmented with adversarial examples.","4","N","Y","75"
"MDL-Q03","MDL-Q03-R05","Certified defences. Use of certified defences and Adversarial Robustness Toolbox (ART).","5","N","Y","100"
"MDL-Q04","MDL-Q04-R01","No safety gates. Model can generate harmful content without restriction.","1","Y","Y","0"
"MDL-Q04","MDL-Q04-R02","Base model safety. Reliance on the base provider's internal safety tuning.","2","N","Y","25"
"MDL-Q04","MDL-Q04-R03","Manual red-teaming. Irregular manual red-teaming exercises pre-release.","3","N","Y","50"
"MDL-Q04","MDL-Q04-R04","Automated moderation. Quarterly safety benchmarks using HELM or Garak.","4","N","Y","75"
"MDL-Q04","MDL-Q04-R05","Continuous testing. External pentesting with Bugcrowd or Synack and real-time updates.","5","N","Y","100"
"MDL-Q05","MDL-Q05-R01","No training privacy. Training data easily reconstructed from model outputs.","1","Y","Y","0"
"MDL-Q05","MDL-Q05-R02","Basic masking. Standard identification and masking of primary identifiers.","2","N","Y","25"
"MDL-Q05","MDL-Q05-R03","Reconstruction tests. Periodic manual testing for data reconstruction.","3","N","Y","50"
"MDL-Q05","MDL-Q05-R04","Validated redaction. Automated masking at ingestion with SDV or Faker.","4","N","Y","75"
"MDL-Q05","MDL-Q05-R05","Differential privacy. Privacy-preserving training implemented via Opacus.","5","N","Y","100"
"MDL-Q06","MDL-Q06-R01","No confidence signals. Predictions lack reliable uncertainty measures.","1","Y","Y","0"
"MDL-Q06","MDL-Q06-R02","Manual sanity checks. User-driven identification of overconfident errors.","2","N","Y","25"
"MDL-Q06","MDL-Q06-R03","Temperature scaling. Calibration techniques applied to normalise output probabilities.","3","N","Y","50"
"MDL-Q06","MDL-Q06-R04","Uncertainty heads. Implementation of Bayesian heads or MC dropout for estimation.","4","N","Y","75"
"MDL-Q06","MDL-Q06-R05","Automated fallback. Low-confidence scores trigger human review via n8n or feature flags.","5","N","Y","100"
"MDL-Q07","MDL-Q07-R01","No bias checks. Societal biases in training data are amplified unchecked.","1","Y","Y","0"
"MDL-Q07","MDL-Q07-R02","Manual audits. Occasional manual reviews for demographic bias.","2","N","Y","25"
"MDL-Q07","MDL-Q07-R03","Safety benchmarks. Standard bias benchmarks run as part of HELM evaluations.","3","N","Y","50"
"MDL-Q07","MDL-Q07-R04","Automated monitoring. Continuous monitoring of outputs for biased patterns.","4","N","Y","75"
"MDL-Q07","MDL-Q07-R05","Real-time mitigation. Dynamic output guardrails using Perspective API.","5","N","Y","100"
"MDL-Q08","MDL-Q08-R01","No scanning. Hidden triggers allow targeted malicious behaviour.","1","Y","Y","0"
"MDL-Q08","MDL-Q08-R02","Provider reliance. Reliance on base-model provider safety claims.","2","N","Y","25"
"MDL-Q08","MDL-Q08-R03","Data scanning. Periodic scanning of fine-tuning data for statistical anomalies.","3","N","Y","50"
"MDL-Q08","MDL-Q08-R04","Outlier detection. Pre-training outlier detection using Alibi Detect or ART.","4","N","Y","75"
"MDL-Q08","MDL-Q08-R05","Full sanitisation. Training loss monitoring and cryptographic validation of data.","5","N","Y","100"
"MDL-Q09","MDL-Q09-R01","No observability. Silent degradation goes unnoticed after deployment.","1","Y","Y","0"
"MDL-Q09","MDL-Q09-R02","User reporting. Ad-hoc feedback loops for performance issues.","2","N","Y","25"
"MDL-Q09","MDL-Q09-R03","Metric monitoring. Automated tracking of latency and error rates.","3","N","Y","50"
"MDL-Q09","MDL-Q09-R04","Continuous tracing. Decision observability implemented via Langfuse or Phoenix.","4","N","Y","75"
"MDL-Q09","MDL-Q09-R05","Automated failover. Drift detection triggers failover to Challenger Models via FastAPI.","5","N","Y","100"
"MDL-Q10","MDL-Q10-R01","No traceability. Traceability markers are absent or easily removed.","1","Y","Y","0"
"MDL-Q10","MDL-Q10-R02","Simple text markers. Basic text-based watermarking easily bypassed.","2","N","Y","25"
"MDL-Q10","MDL-Q10-R03","Standard signatures. Standard watermark signatures without verification tools.","3","N","Y","50"
"MDL-Q10","MDL-Q10-R04","Tree-Ring Signals. Advanced hidden signals embedded in generations.","4","N","Y","75"
"MDL-Q10","MDL-Q10-R05","Robust watermarks. Undetectable, robust watermarks verifiable via OpenAI Watermarking tools.","5","N","Y","100"
"SYS-Q01","SYS-Q01-R01","Malicious signals trigger erroneous workflows without validation.","1","Y","Y","0"
"SYS-Q01","SYS-Q01-R02","Manual review of a sample of input signals.","2","N","Y","25"
"SYS-Q01","SYS-Q01-R03","Signals validated against fixed schemas via Pydantic.","3","N","Y","50"
"SYS-Q01","SYS-Q01-R04","Multi-source validation with anomaly scoring via Great Expectations.","4","N","Y","75"
"SYS-Q01","SYS-Q01-R05","Trust scoring and historical accuracy weighting via Bayesian trust models.","5","N","Y","100"
"SYS-Q02","SYS-Q02-R01","AI recommendations violate business rules or regulatory requirements.","1","Y","Y","0"
"SYS-Q02","SYS-Q02-R02","Ad-hoc manual audits of AI-generated decisions.","2","N","Y","25"
"SYS-Q02","SYS-Q02-R03","Periodic audits and documented governance policies.","3","N","Y","50"
"SYS-Q02","SYS-Q02-R04","Output validation against hardcoded rules using Easy Rules or Drools.","4","N","Y","75"
"SYS-Q02","SYS-Q02-R05","Real-time enforcement via automated governance platforms like Drata or Vanta.","5","N","Y","100"
"SYS-Q03","SYS-Q03-R01","Unauthorised/unknown AI systems operating in the environment.","1","Y","Y","0"
"SYS-Q03","SYS-Q03-R02","Manual inventory of AI assets updated on an irregular basis.","2","N","Y","25"
"SYS-Q03","SYS-Q03-R03","Discovery scans on network traffic to identify AI endpoints.","3","N","Y","50"
"SYS-Q03","SYS-Q03-R04","Automated discovery and integration monitoring via Prometheus.","4","N","Y","75"
"SYS-Q03","SYS-Q03-R05","Real-time blocking and full observability via ELK stack or ClickHouse.","5","N","Y","100"
"SYS-Q04","SYS-Q04-R01","Silent degradation of AI recommendations over time.","1","Y","Y","0"
"SYS-Q04","SYS-Q04-R02","User-reported errors only; no proactive tracking.","2","N","Y","25"
